ProteinName,UniProt ID,DiseaseName,UMLS concept ID
Prothrombin,P00734,"Thrombocythemia, Essential",C0040028
Matrix metalloproteinase-9,P14780,"Thrombocythemia, Essential",C0040028
Sterol O-acyltransferase 1,P35610,"Thrombocythemia, Essential",C0040028
Interleukin-3,P08700,"Thrombocythemia, Essential",C0040028
Androgen receptor,P10275,"Thrombocythemia, Essential",C0040028
L-lactate dehydrogenase C chain,P07864,"Thrombocythemia, Essential",C0040028
Vascular endothelial growth factor A,P15692,"Thrombocythemia, Essential",C0040028
DNA ligase 3,P49916,"Thrombocythemia, Essential",C0040028
Angiotensin-converting enzyme,P12821,"Thrombocythemia, Essential",C0040028
Plasminogen activator inhibitor 1,P05121,"Thrombocythemia, Essential",C0040028
Apoptosis regulator Bcl-2,P10415,"Thrombocythemia, Essential",C0040028
"Nitric oxide synthase, endothelial",P29474,"Thrombocythemia, Essential",C0040028
Renin,P00797,"Thrombocythemia, Essential",C0040028
Cytochrome c oxidase subunit 1,P00395,"Thrombocythemia, Essential",C0040028
Vitamin K-dependent protein C,P04070,"Thrombocythemia, Essential",C0040028
L-lactate dehydrogenase A chain,P00338,"Thrombocythemia, Essential",C0040028
RAC-alpha serine/threonine-protein kinase,P31749,"Thrombocythemia, Essential",C0040028
Aldo-keto reductase family 1 member C4,P17516,"Thrombocythemia, Essential",C0040028
Integrin alpha-IIb,P08514,"Thrombocythemia, Essential",C0040028
Mast/stem cell growth factor receptor Kit,P10721,"Thrombocythemia, Essential",C0040028
72 kDa type IV collagenase,P08253,"Thrombocythemia, Essential",C0040028
Erythropoietin receptor,P19235,"Thrombocythemia, Essential",C0040028
"Arginase-2, mitochondrial",P78540,"Thrombocythemia, Essential",C0040028
Heparin cofactor 2,P05546,"Thrombocythemia, Essential",C0040028
Granulocyte colony-stimulating factor receptor,Q99062,"Thrombocythemia, Essential",C0040028
Glucocorticoid receptor,P04150,"Thrombocythemia, Essential",C0040028
Platelet-derived growth factor receptor alpha,P16234,"Thrombocythemia, Essential",C0040028
C-reactive protein,P02741,"Thrombocythemia, Essential",C0040028
Histone deacetylase 9,Q9UKV0,"Thrombocythemia, Essential",C0040028
Gamma-glutamyltranspeptidase 1,P19440,"Thrombocythemia, Essential",C0040028
Signal transducer and activator of transcription 5B,P51692,"Thrombocythemia, Essential",C0040028
Interleukin-6,P05231,"Thrombocythemia, Essential",C0040028
C-X-C chemokine receptor type 4,P61073,"Thrombocythemia, Essential",C0040028
Vitamin K-dependent protein S,P07225,"Thrombocythemia, Essential",C0040028
Interferon gamma,P01579,"Thrombocythemia, Essential",C0040028
Interleukin-8,P10145,"Thrombocythemia, Essential",C0040028
Tissue factor pathway inhibitor,P10646,"Thrombocythemia, Essential",C0040028
Angiotensin-converting enzyme 2,Q9BYF1,"Thrombocythemia, Essential",C0040028
Transforming growth factor beta-1,P01137,"Thrombocythemia, Essential",C0040028
Catenin beta-1,P35222,"Thrombocythemia, Essential",C0040028
E3 ubiquitin-protein ligase Mdm2,Q00987,"Thrombocythemia, Essential",C0040028
Fibroblast growth factor 2,P09038,"Thrombocythemia, Essential",C0040028
G1/S-specific cyclin-D1,P24385,"Thrombocythemia, Essential",C0040028
High affinity nerve growth factor receptor,P04629,"Thrombocythemia, Essential",C0040028
Chitotriosidase-1,Q13231,"Thrombocythemia, Essential",C0040028
E-selectin,P16581,"Thrombocythemia, Essential",C0040028
Neutrophil gelatinase-associated lipocalin,P80188,"Thrombocythemia, Essential",C0040028
Glucose-6-phosphate 1-dehydrogenase,P11413,"Thrombocythemia, Essential",C0040028
Stromal cell-derived factor 1,P48061,"Thrombocythemia, Essential",C0040028
Integrin beta-3,P05106,"Thrombocythemia, Essential",C0040028
P-selectin,P16109,"Thrombocythemia, Essential",C0040028
Tissue factor,P13726,"Thrombocythemia, Essential",C0040028
Protein S100-A12,P80511,"Thrombocythemia, Essential",C0040028
Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,"Thrombocythemia, Essential",C0040028
Galectin-3,P17931,"Thrombocythemia, Essential",C0040028
Low affinity immunoglobulin gamma Fc region receptor II-a,P12318,"Thrombocythemia, Essential",C0040028
Calreticulin,P27797,"Thrombocythemia, Essential",C0040028
Methylenetetrahydrofolate reductase,P42898,"Thrombocythemia, Essential",C0040028
Histone deacetylase 6,Q9UBN7,"Thrombocythemia, Essential",C0040028
Hypoxia-inducible factor 1-alpha,Q16665,"Thrombocythemia, Essential",C0040028
Tyrosine-protein kinase JAK2,O60674,"Thrombocythemia, Essential",C0040028
Toll-like receptor 4,O00206,"Thrombocythemia, Essential",C0040028
Telomerase reverse transcriptase,O14746,"Thrombocythemia, Essential",C0040028
Granulocyte-macrophage colony-stimulating factor,P04141,"Thrombocythemia, Essential",C0040028
Interleukin-10,P22301,"Thrombocythemia, Essential",C0040028
Placenta growth factor,P49763,"Thrombocythemia, Essential",C0040028
Arylsulfatase A,P15289,"Thrombocythemia, Essential",C0040028
Carboxypeptidase B,P15086,"Thrombocythemia, Essential",C0040028
Cellular tumor antigen p53,P04637,"Thrombocythemia, Essential",C0040028
Serine/threonine-protein kinase Chk2,O96017,"Thrombocythemia, Essential",C0040028
Endothelin-1,P05305,"Thrombocythemia, Essential",C0040028
Brain-derived neurotrophic factor,P23560,"Thrombocythemia, Essential",C0040028
Insulin-like growth factor I,P05019,"Thrombocythemia, Essential",C0040028
Bcl-2-like protein 2,Q92843,"Thrombocythemia, Essential",C0040028
Thrombopoietin receptor,P40238,"Thrombocythemia, Essential",C0040028
Apolipoprotein A-I,P02647,"Thrombocythemia, Essential",C0040028
Interferon alpha-2,P01563,"Thrombocythemia, Essential",C0040028
Signal transducer and activator of transcription 3,P40763,"Thrombocythemia, Essential",C0040028
Platelet-derived growth factor subunit B,P01127,"Thrombocythemia, Essential",C0040028
Bcl-2-like protein 1,Q07817,"Thrombocythemia, Essential",C0040028
C-X-C chemokine receptor type 1,P25024,"Thrombocythemia, Essential",C0040028
Glycodelin,P09466,"Thrombocythemia, Essential",C0040028
"HLA class I histocompatibility antigen, B-27 alpha chain",P01889,"Thrombocythemia, Essential",C0040028
Tyrosine-protein kinase JAK1,P23458,"Thrombocythemia, Essential",C0040028
Annexin A5,P08758,"Thrombocythemia, Essential",C0040028
"Isocitrate dehydrogenase [NADP], mitochondrial",P48735,"Thrombocythemia, Essential",C0040028
Myc proto-oncogene protein,P01106,"Thrombocythemia, Essential",C0040028
SH2B adapter protein 3,Q9UQQ2,"Thrombocythemia, Essential",C0040028
Breakpoint cluster region protein,P11274,"Thrombocythemia, Essential",C0040028
Selenoprotein P,P49908,"Thrombocythemia, Essential",C0040028
Histone deacetylase 11,Q96DB2,"Thrombocythemia, Essential",C0040028
Histone deacetylase 6,Q9UBN7,"Thrombocythemia, Essential",C0040028
Histone deacetylase 9,Q9UKV0,"Thrombocythemia, Essential",C0040028
Calretinin,P22676,"Thrombocythemia, Essential",C0040028
Protein S100-A8,P05109,"Thrombocythemia, Essential",C0040028
Protein S100-A9,P06702,"Thrombocythemia, Essential",C0040028
Heat shock 70 kDa protein 4,P34932,"Thrombocythemia, Essential",C0040028
Ubiquitin carboxyl-terminal hydrolase 14,P54578,"Thrombocythemia, Essential",C0040028
Proliferating cell nuclear antigen,P12004,"Thrombocythemia, Essential",C0040028
"HLA class I histocompatibility antigen, B-27 alpha chain",P01889,"Thrombocythemia, Essential",C0040028
N-acylethanolamine-hydrolyzing acid amidase,Q02083,"Thrombocythemia, Essential",C0040028
Splicing factor 3B subunit 1,O75533,"Thrombocythemia, Essential",C0040028
Histone-lysine N-methyltransferase EZH2,Q15910,"Thrombocythemia, Essential",C0040028
Caspase-9,P55211,"Thrombocythemia, Essential",C0040028
Coagulation factor XIII A chain,P00488,Thrombosis,C0040053
Coagulation factor VIII,P00451,Thrombosis,C0040053
Prostaglandin G/H synthase 1,P23219,Thrombosis,C0040053
Tubulin beta-1 chain,Q9H4B7,Thrombosis,C0040053
Coagulation factor V,P12259,Thrombosis,C0040053
Prothrombin,P00734,Thrombosis,C0040053
P2Y purinoceptor 12,Q9H244,Thrombosis,C0040053
Receptor-type tyrosine-protein kinase FLT3,P36888,Thrombosis,C0040053
Coagulation factor X,P00742,Thrombosis,C0040053
Plasminogen activator inhibitor 1,P05121,Thrombosis,C0040053
Prostaglandin G/H synthase 2,P35354,Thrombosis,C0040053
"Nitric oxide synthase, endothelial",P29474,Thrombosis,C0040053
Antithrombin-III,P01008,Thrombosis,C0040053
Coagulation factor IX,P00740,Thrombosis,C0040053
Vitamin K-dependent protein C,P04070,Thrombosis,C0040053
"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Q14432,Thrombosis,C0040053
Integrin alpha-IIb,P08514,Thrombosis,C0040053
Fibrinogen alpha chain,P02671,Thrombosis,C0040053
Tumor necrosis factor,P01375,Thrombosis,C0040053
Vitamin K epoxide reductase complex subunit 1,Q9BQB6,Thrombosis,C0040053
T-cell surface antigen CD2,P06729,Thrombosis,C0040053
Heme oxygenase 1,P09601,Thrombosis,C0040053
Thromboxane A2 receptor,P21731,Thrombosis,C0040053
C-reactive protein,P02741,Thrombosis,C0040053
Urokinase-type plasminogen activator,P00749,Thrombosis,C0040053
Interleukin-6,P05231,Thrombosis,C0040053
Complement decay-accelerating factor,P08174,Thrombosis,C0040053
Vitamin K-dependent protein S,P07225,Thrombosis,C0040053
Tissue factor pathway inhibitor,P10646,Thrombosis,C0040053
Angiotensin-converting enzyme 2,Q9BYF1,Thrombosis,C0040053
CD40 ligand,P29965,Thrombosis,C0040053
Coagulation factor XI,P03951,Thrombosis,C0040053
Platelet glycoprotein Ib alpha chain,P07359,Thrombosis,C0040053
von Willebrand factor,P04275,Thrombosis,C0040053
Interleukin-1 beta,P01584,Thrombosis,C0040053
Angiotensinogen,P01019,Thrombosis,C0040053
85/88 kDa calcium-independent phospholipase A2,O60733,Thrombosis,C0040053
Tissue-type plasminogen activator,P00750,Thrombosis,C0040053
Hepatocyte growth factor,P14210,Thrombosis,C0040053
Platelet factor 4,P02776,Thrombosis,C0040053
Thrombomodulin,P07204,Thrombosis,C0040053
Integrin beta-3,P05106,Thrombosis,C0040053
P-selectin,P16109,Thrombosis,C0040053
Endothelial protein C receptor,Q9UNN8,Thrombosis,C0040053
Tissue factor,P13726,Thrombosis,C0040053
Soluble calcium-activated nucleotidase 1,Q8WVQ1,Thrombosis,C0040053
Thromboxane-A synthase,P24557,Thrombosis,C0040053
Fibrinogen beta chain,P02675,Thrombosis,C0040053
Fibrinogen gamma chain,P02679,Thrombosis,C0040053
Low affinity immunoglobulin gamma Fc region receptor II-a,P12318,Thrombosis,C0040053
Methylenetetrahydrofolate reductase,P42898,Thrombosis,C0040053
Cytochrome P450 3A5,P20815,Thrombosis,C0040053
Prostaglandin E2 receptor EP3 subtype,P43115,Thrombosis,C0040053
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338,Thrombosis,C0040053
Tyrosine-protein kinase JAK2,O60674,Thrombosis,C0040053
Plasma kallikrein,P03952,Thrombosis,C0040053
NAD-dependent protein deacetylase sirtuin-1,Q96EB6,Thrombosis,C0040053
Beta-2-glycoprotein 1,P02749,Thrombosis,C0040053
Leptin receptor,P48357,Thrombosis,C0040053
Carboxypeptidase B2,Q96IY4,Thrombosis,C0040053
Thrombopoietin receptor,P40238,Thrombosis,C0040053
Endoglin,P17813,Thrombosis,C0040053
B2 bradykinin receptor,P30411,Thrombosis,C0040053
Cytochrome P450 2C19,P33261,Thrombosis,C0040053
Annexin A5,P08758,Thrombosis,C0040053
Tyrosine-protein kinase Mer,Q12866,Thrombosis,C0040053
Complement C4-A,P0C0L4,Thrombosis,C0040053
Complement C4-B,P0C0L5,Thrombosis,C0040053
Cytochrome P450 3A5,P20815,Thrombosis,C0040053
"cGMP-inhibited 3',5'-cyclic phosphodiesterase A",Q14432,Thrombosis,C0040053
"Complement component 1 Q subcomponent-binding protein, mitochondrial",Q07021,Thrombosis,C0040053
Tyrosine-protein kinase receptor TYRO3,Q06418,Thrombosis,C0040053
Fibrinogen alpha chain,P02671,Thrombosis,C0040053
Fibrinogen beta chain,P02675,Thrombosis,C0040053
Fibrinogen gamma chain,P02679,Thrombosis,C0040053
P2X purinoceptor 1,P51575,Thrombosis,C0040053
P2Y purinoceptor 1,P47900,Thrombosis,C0040053
P2Y purinoceptor 12,Q9H244,Thrombosis,C0040053
Vascular endothelial growth factor receptor 1,P17948,Follicular thyroid carcinoma,C0206682
Matrix metalloproteinase-9,P14780,Follicular thyroid carcinoma,C0206682
Androgen receptor,P10275,Follicular thyroid carcinoma,C0206682
Receptor-type tyrosine-protein kinase FLT3,P36888,Follicular thyroid carcinoma,C0206682
Vascular endothelial growth factor A,P15692,Follicular thyroid carcinoma,C0206682
Scavenger receptor class B member 1,Q8WTV0,Follicular thyroid carcinoma,C0206682
Plasminogen,P00747,Follicular thyroid carcinoma,C0206682
Peroxisome proliferator-activated receptor gamma,P37231,Follicular thyroid carcinoma,C0206682
Angiotensin-converting enzyme,P12821,Follicular thyroid carcinoma,C0206682
Plasminogen activator inhibitor 1,P05121,Follicular thyroid carcinoma,C0206682
Prostaglandin G/H synthase 2,P35354,Follicular thyroid carcinoma,C0206682
Thyroid hormone receptor beta,P10828,Follicular thyroid carcinoma,C0206682
Coagulation factor IX,P00740,Follicular thyroid carcinoma,C0206682
Vascular endothelial growth factor receptor 2,P35968,Follicular thyroid carcinoma,C0206682
"Aspartate aminotransferase, mitochondrial",P00505,Follicular thyroid carcinoma,C0206682
RAC-alpha serine/threonine-protein kinase,P31749,Follicular thyroid carcinoma,C0206682
"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",O15528,Follicular thyroid carcinoma,C0206682
Thyrotropin receptor,P16473,Follicular thyroid carcinoma,C0206682
Receptor tyrosine-protein kinase erbB-2,P04626,Follicular thyroid carcinoma,C0206682
Nicotinate-nucleotide pyrophosphorylase [carboxylating],Q15274,Follicular thyroid carcinoma,C0206682
Glutamate carboxypeptidase 2,Q04609,Follicular thyroid carcinoma,C0206682
Acetyl-CoA carboxylase 1,Q13085,Follicular thyroid carcinoma,C0206682
Serine/threonine-protein kinase B-raf,P15056,Follicular thyroid carcinoma,C0206682
72 kDa type IV collagenase,P08253,Follicular thyroid carcinoma,C0206682
Retinoic acid receptor alpha,P10276,Follicular thyroid carcinoma,C0206682
Tumor necrosis factor,P01375,Follicular thyroid carcinoma,C0206682
Epidermal growth factor receptor,P00533,Follicular thyroid carcinoma,C0206682
Vitamin D3 receptor,P11473,Follicular thyroid carcinoma,C0206682
Nicotinamide N-methyltransferase,P40261,Follicular thyroid carcinoma,C0206682
Estrogen receptor beta,Q92731,Follicular thyroid carcinoma,C0206682
Dipeptidyl peptidase 4,P27487,Follicular thyroid carcinoma,C0206682
Insulin-like growth factor 1 receptor,P08069,Follicular thyroid carcinoma,C0206682
Protein kinase C beta type,P05771,Follicular thyroid carcinoma,C0206682
Interleukin-6,P05231,Follicular thyroid carcinoma,C0206682
Interstitial collagenase,P03956,Follicular thyroid carcinoma,C0206682
Pro-epidermal growth factor,P01133,Follicular thyroid carcinoma,C0206682
Interleukin-8,P10145,Follicular thyroid carcinoma,C0206682
Angiotensin-converting enzyme 2,Q9BYF1,Follicular thyroid carcinoma,C0206682
Transforming growth factor beta-1,P01137,Follicular thyroid carcinoma,C0206682
Catenin beta-1,P35222,Follicular thyroid carcinoma,C0206682
Fibroblast growth factor 2,P09038,Follicular thyroid carcinoma,C0206682
Multidrug resistance protein 1,P08183,Follicular thyroid carcinoma,C0206682
High affinity nerve growth factor receptor,P04629,Follicular thyroid carcinoma,C0206682
Interleukin-1 beta,P01584,Follicular thyroid carcinoma,C0206682
"Solute carrier family 2, facilitated glucose transporter member 1",P11166,Follicular thyroid carcinoma,C0206682
Mitogen-activated protein kinase 3,P27361,Follicular thyroid carcinoma,C0206682
GTPase HRas,P01112,Follicular thyroid carcinoma,C0206682
Aminopeptidase N,P15144,Follicular thyroid carcinoma,C0206682
Intercellular adhesion molecule 1,P05362,Follicular thyroid carcinoma,C0206682
CD44 antigen,P16070,Follicular thyroid carcinoma,C0206682
Heat shock protein HSP 90-alpha,P07900,Follicular thyroid carcinoma,C0206682
Hepatocyte growth factor,P14210,Follicular thyroid carcinoma,C0206682
Protein kinase C alpha type,P17252,Follicular thyroid carcinoma,C0206682
Dipeptidase 1,P16444,Follicular thyroid carcinoma,C0206682
Stromal cell-derived factor 1,P48061,Follicular thyroid carcinoma,C0206682
E3 ubiquitin-protein ligase XIAP,P98170,Follicular thyroid carcinoma,C0206682
Annexin A2,P07355,Follicular thyroid carcinoma,C0206682
Fibroblast growth factor receptor 4,P22455,Follicular thyroid carcinoma,C0206682
Isocitrate dehydrogenase [NADP] cytoplasmic,O75874,Follicular thyroid carcinoma,C0206682
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",P48736,Follicular thyroid carcinoma,C0206682
Galectin-3,P17931,Follicular thyroid carcinoma,C0206682
Bis(5'-adenosyl)-triphosphatase,P49789,Follicular thyroid carcinoma,C0206682
Serpin B5,P36952,Follicular thyroid carcinoma,C0206682
Neuroendocrine convertase 2,P16519,Follicular thyroid carcinoma,C0206682
Insulin-like growth factor-binding protein 7,Q16270,Follicular thyroid carcinoma,C0206682
CAD protein,P27708,Follicular thyroid carcinoma,C0206682
"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Q07973,Follicular thyroid carcinoma,C0206682
"Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial",O14521,Follicular thyroid carcinoma,C0206682
Hypoxia-inducible factor 1-alpha,Q16665,Follicular thyroid carcinoma,C0206682
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",P42336,Follicular thyroid carcinoma,C0206682
Serine/threonine-protein kinase mTOR,P42345,Follicular thyroid carcinoma,C0206682
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform",O00329,Follicular thyroid carcinoma,C0206682
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform",P42338,Follicular thyroid carcinoma,C0206682
Proto-oncogene tyrosine-protein kinase receptor Ret,P07949,Follicular thyroid carcinoma,C0206682
Interleukin-13 receptor subunit alpha-2,Q14627,Follicular thyroid carcinoma,C0206682
Telomerase reverse transcriptase,O14746,Follicular thyroid carcinoma,C0206682
Ribonucleoside-diphosphate reductase subunit M2,P31350,Follicular thyroid carcinoma,C0206682
Prostaglandin E synthase 3,Q15185,Follicular thyroid carcinoma,C0206682
Focal adhesion kinase 1,Q05397,Follicular thyroid carcinoma,C0206682
Nucleoside diphosphate kinase A,P15531,Follicular thyroid carcinoma,C0206682
Cellular tumor antigen p53,P04637,Follicular thyroid carcinoma,C0206682
Serine/threonine-protein kinase Chk2,O96017,Follicular thyroid carcinoma,C0206682
"Thioredoxin reductase 2, mitochondrial",Q9NNW7,Follicular thyroid carcinoma,C0206682
Amyloid beta A4 protein,P05067,Follicular thyroid carcinoma,C0206682
cAMP-dependent protein kinase type I-alpha regulatory subunit,P10644,Follicular thyroid carcinoma,C0206682
Programmed cell death 1 ligand 1,Q9NZQ7,Follicular thyroid carcinoma,C0206682
G-protein coupled estrogen receptor 1,Q99527,Follicular thyroid carcinoma,C0206682
Insulin,P01308,Follicular thyroid carcinoma,C0206682
C-X-C chemokine receptor type 1,P25024,Follicular thyroid carcinoma,C0206682
Integrin alpha-V,P06756,Follicular thyroid carcinoma,C0206682
Cyclin-dependent kinase 5 activator 1,Q15078,Follicular thyroid carcinoma,C0206682
Proteasome subunit beta type-6,P28072,Follicular thyroid carcinoma,C0206682
GTPase KRas,P01116,Follicular thyroid carcinoma,C0206682
Carcinoembryonic antigen-related cell adhesion molecule 5,P06731,Follicular thyroid carcinoma,C0206682
Iodotyrosine deiodinase 1,Q6PHW0,Follicular thyroid carcinoma,C0206682
"Superoxide dismutase [Mn], mitochondrial",P04179,Follicular thyroid carcinoma,C0206682
Vimentin,P08670,Follicular thyroid carcinoma,C0206682
"Isocitrate dehydrogenase [NADP], mitochondrial",P48735,Follicular thyroid carcinoma,C0206682
Interleukin-1 alpha,P01583,Follicular thyroid carcinoma,C0206682
Serine-protein kinase ATM,Q13315,Follicular thyroid carcinoma,C0206682
Protein kinase C alpha type,P17252,Follicular thyroid carcinoma,C0206682
Protein kinase C beta type,P05771,Follicular thyroid carcinoma,C0206682
"Phosphatidylinositol 3,4,5-trisphosphate 3-phosphatase and dual-specificity protein phosphatase PTEN",P60484,Follicular thyroid carcinoma,C0206682
Metallothionein-1G,P13640,Follicular thyroid carcinoma,C0206682
Metallothionein-1M,Q8N339,Follicular thyroid carcinoma,C0206682
Calcium and integrin-binding protein 1,Q99828,Follicular thyroid carcinoma,C0206682
Translationally-controlled tumor protein,P13693,Follicular thyroid carcinoma,C0206682
Protein S100-A10,P60903,Follicular thyroid carcinoma,C0206682
Tropomyosin alpha-3 chain,P06753,Follicular thyroid carcinoma,C0206682
Amyloid-like protein 2,Q06481,Follicular thyroid carcinoma,C0206682
Ras GTPase-activating-like protein IQGAP1,P46940,Follicular thyroid carcinoma,C0206682
Sodium/iodide cotransporter,Q92911,Follicular thyroid carcinoma,C0206682
Tyrosine-protein kinase receptor Tie-1,P35590,Follicular thyroid carcinoma,C0206682
Homeodomain-interacting protein kinase 2,Q9H2X6,Follicular thyroid carcinoma,C0206682
Interleukin-1 receptor-associated kinase 1,P51617,Follicular thyroid carcinoma,C0206682
Histone-lysine N-methyltransferase EZH2,Q15910,Follicular thyroid carcinoma,C0206682
Mitogen-activated protein kinase 3,P27361,Follicular thyroid carcinoma,C0206682
Prohibitin,P35232,Follicular thyroid carcinoma,C0206682
Thyroid hormone receptor beta,P10828,Follicular thyroid carcinoma,C0206682
Mitogen-activated protein kinase 3,P27361,Follicular thyroid carcinoma,C0206682
Dopamine beta-hydroxylase,P09172,Torticollis,C0040485
D(1B) dopamine receptor,P21918,Torticollis,C0040485
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,Torticollis,C0040485
D(1B) dopamine receptor,P21918,Torticollis,C0040485
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,Torticollis,C0040485
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,Torticollis,C0040485
Voltage-dependent P/Q-type calcium channel subunit alpha-1A,O00555,Torticollis,C0040485
D(1B) dopamine receptor,P21918,Torticollis,C0040485
Alcohol dehydrogenase class-3,P11766,Eclampsia,C0013537
Prostaglandin G/H synthase 1,P23219,Eclampsia,C0013537
Vascular endothelial growth factor receptor 1,P17948,Eclampsia,C0013537
Insulin receptor,P06213,Eclampsia,C0013537
Coagulation factor V,P12259,Eclampsia,C0013537
Prothrombin,P00734,Eclampsia,C0013537
Matrix metalloproteinase-9,P14780,Eclampsia,C0013537
Type-1 angiotensin II receptor,P30556,Eclampsia,C0013537
ATP-binding cassette sub-family A member 1,O95477,Eclampsia,C0013537
Estrogen receptor,P03372,Eclampsia,C0013537
Corticosteroid 11-beta-dehydrogenase isozyme 2,P80365,Eclampsia,C0013537
Lutropin-choriogonadotropic hormone receptor,P22888,Eclampsia,C0013537
Vascular endothelial growth factor A,P15692,Eclampsia,C0013537
Vasopressin V1a receptor,P37288,Eclampsia,C0013537
Histo-blood group ABO system transferase,P16442,Eclampsia,C0013537
Coagulation factor X,P00742,Eclampsia,C0013537
Angiotensin-converting enzyme,P12821,Eclampsia,C0013537
Lipoprotein lipase,P06858,Eclampsia,C0013537
Plasminogen activator inhibitor 1,P05121,Eclampsia,C0013537
Adenosine receptor A2b,P29275,Eclampsia,C0013537
SEC14-like protein 2,O76054,Eclampsia,C0013537
Prostaglandin G/H synthase 2,P35354,Eclampsia,C0013537
"Nitric oxide synthase, endothelial",P29474,Eclampsia,C0013537
Renin,P00797,Eclampsia,C0013537
Sorbitol dehydrogenase,Q00796,Eclampsia,C0013537
Retinol-binding protein 4,P02753,Eclampsia,C0013537
Cytochrome c oxidase subunit 1,P00395,Eclampsia,C0013537
Vascular endothelial growth factor receptor 2,P35968,Eclampsia,C0013537
Follicle-stimulating hormone receptor,P23945,Eclampsia,C0013537
Serum albumin,P02768,Eclampsia,C0013537
72 kDa type IV collagenase,P08253,Eclampsia,C0013537
Interleukin-2 receptor subunit alpha,P01589,Eclampsia,C0013537
Alanine aminotransferase 1,P24298,Eclampsia,C0013537
Mineralocorticoid receptor,P08235,Eclampsia,C0013537
"Indoleamine 2,3-dioxygenase 1",P14902,Eclampsia,C0013537
Tumor necrosis factor,P01375,Eclampsia,C0013537
Interferon gamma receptor 1,P15260,Eclampsia,C0013537
Glutathione S-transferase Mu 1,P09488,Eclampsia,C0013537
Macrophage colony-stimulating factor 1 receptor,P07333,Eclampsia,C0013537
Protein kinase C beta type,P05771,Eclampsia,C0013537
C-reactive protein,P02741,Eclampsia,C0013537
Alpha-synuclein,P37840,Eclampsia,C0013537
Interleukin-6,P05231,Eclampsia,C0013537
Proteinase-activated receptor 1,P25116,Eclampsia,C0013537
Vitamin K-dependent protein S,P07225,Eclampsia,C0013537
Interferon gamma,P01579,Eclampsia,C0013537
Pro-epidermal growth factor,P01133,Eclampsia,C0013537
Interleukin-8,P10145,Eclampsia,C0013537
Transforming growth factor beta-1,P01137,Eclampsia,C0013537
Interleukin-2,P60568,Eclampsia,C0013537
Transcription factor AP-1,P05412,Eclampsia,C0013537
C-C motif chemokine 2,P13500,Eclampsia,C0013537
Interleukin-1 beta,P01584,Eclampsia,C0013537
"Solute carrier family 2, facilitated glucose transporter member 1",P11166,Eclampsia,C0013537
Angiotensinogen,P01019,Eclampsia,C0013537
Apolipoprotein E,P02649,Eclampsia,C0013537
Proto-oncogene c-Fos,P01100,Eclampsia,C0013537
Stromal cell-derived factor 1,P48061,Eclampsia,C0013537
Thrombomodulin,P07204,Eclampsia,C0013537
E3 ubiquitin-protein ligase XIAP,P98170,Eclampsia,C0013537
Toll-like receptor 2,O60603,Eclampsia,C0013537
Annexin A2,P07355,Eclampsia,C0013537
Protein S100-B,P04271,Eclampsia,C0013537
Fibroblast growth factor receptor 4,P22455,Eclampsia,C0013537
Interferon-stimulated gene 20 kDa protein,Q96AZ6,Eclampsia,C0013537
Catechol O-methyltransferase,P21964,Eclampsia,C0013537
Calreticulin,P27797,Eclampsia,C0013537
Methylenetetrahydrofolate reductase,P42898,Eclampsia,C0013537
Glutaredoxin-1,P35754,Eclampsia,C0013537
Cytochrome P450 2D6,P10635,Eclampsia,C0013537
Hypoxia-inducible factor 1-alpha,Q16665,Eclampsia,C0013537
Protein kinase C delta type,Q05655,Eclampsia,C0013537
Toll-like receptor 4,O00206,Eclampsia,C0013537
Interleukin-10,P22301,Eclampsia,C0013537
Wiskott-Aldrich syndrome protein,P42768,Eclampsia,C0013537
Cytochrome P450 2C9,P11712,Eclampsia,C0013537
"2,4-dienoyl-CoA reductase, mitochondrial",Q16698,Eclampsia,C0013537
Placenta growth factor,P49763,Eclampsia,C0013537
Cellular tumor antigen p53,P04637,Eclampsia,C0013537
Endothelin-1,P05305,Eclampsia,C0013537
Cytochrome c oxidase subunit 2,P00403,Eclampsia,C0013537
Interleukin-23 subunit alpha,Q9NPF7,Eclampsia,C0013537
Programmed cell death protein 1,Q15116,Eclampsia,C0013537
KiSS-1 receptor,Q969F8,Eclampsia,C0013537
Activin receptor type-2A,P27037,Eclampsia,C0013537
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Eclampsia,C0013537
"HLA class I histocompatibility antigen, A-3 alpha chain",P04439,Eclampsia,C0013537
Interleukin-15,P40933,Eclampsia,C0013537
Insulin,P01308,Eclampsia,C0013537
Endoglin,P17813,Eclampsia,C0013537
