Drug name,DrugBank ID,ProteinName,UniProt ID
Latanoprost,DB00654,Prostaglandin F2-alpha receptor,P43088
Lenalidomide,DB00480,Protein cereblon,Q96SW2
Lenalidomide,DB00480,Tumor necrosis factor ligand superfamily member 11,O14788
Lenalidomide,DB00480,Cadherin-5,P33151
Lenalidomide,DB00480,Prostaglandin G/H synthase 2,P35354
Letrozole,DB01006,Aromatase,P11511
Leuprolide,DB00007,Gonadotropin-releasing hormone receptor,P30968
Levamisole,DB00848,Neuronal acetylcholine receptor subunit alpha-3,P32297
Levamisole,DB00848,"Alkaline phosphatase, placental-like",P10696
Levamisole,DB00848,Acetylcholine receptor subunit alpha-type unc-38,Q23022
Levamisole,DB00848,Acetylcholine receptor subunit alpha-type unc-63,Q9N587
Levamisole,DB00848,Acetylcholine receptor subunit beta-type lev-1,Q27218
Levamisole,DB00848,Acetylcholine receptor subunit beta-type unc-29,P48181
Levetiracetam,DB01202,Synaptic vesicle glycoprotein 2A,Q7L0J3
Levetiracetam,DB01202,Voltage-dependent N-type calcium channel subunit alpha-1B,Q00975
Levobunolol,DB01210,Beta-1 adrenergic receptor,P08588
Levobunolol,DB01210,Beta-2 adrenergic receptor,P07550
Levobupivacaine,DB01002,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Levodopa,DB01235,D(1A) dopamine receptor,P21728
Levodopa,DB01235,D(1B) dopamine receptor,P21918
Levodopa,DB01235,D(2) dopamine receptor,P14416
Levodopa,DB01235,D(3) dopamine receptor,P35462
Levodopa,DB01235,D(4) dopamine receptor,P21917
Levofloxacin,DB01137,DNA gyrase subunit A,P43700
Levofloxacin,DB01137,DNA topoisomerase 4 subunit A,P43702
Levonorgestrel,DB00367,Progesterone receptor,P06401
Levonorgestrel,DB00367,3-oxo-5-alpha-steroid 4-dehydrogenase 1,P18405
Levonorgestrel,DB00367,Estrogen receptor,P03372
Levonorgestrel,DB00367,Androgen receptor,P10275
Levonorgestrel,DB00367,Sex hormone-binding globulin,P04278
Levonorgestrel,DB00367,Glucocorticoid receptor,P04150
Levothyroxine,DB00451,Thyroid hormone receptor beta,P10828
Levothyroxine,DB00451,Thyroid hormone receptor alpha,P10827
Levothyroxine,DB00451,Integrin alpha-V,P06756
Levothyroxine,DB00451,Integrin beta-3,P05106
Lidocaine,DB00281,Sodium channel protein type 10 subunit alpha,Q9Y5Y9
Lidocaine,DB00281,Sodium channel protein type 9 subunit alpha,Q15858
Lidocaine,DB00281,Sodium channel protein type 5 subunit alpha,Q14524
Lidocaine,DB00281,Epidermal growth factor receptor,P00533
Lidocaine,DB00281,Sodium channel protein type 4 subunit alpha,P35499
Lidocaine,DB00281,Alpha-1-acid glycoprotein 1,P02763
Lidocaine,DB00281,Alpha-1-acid glycoprotein 2,P19652
Liothyronine,DB00279,Thyroid hormone receptor alpha,P10827
Liothyronine,DB00279,Thyroid hormone receptor beta,P10828
Liothyronine,DB00279,Proliferating cell nuclear antigen,P12004
Lisdexamfetamine,DB01255,Trace amine-associated receptor 1,Q96RJ0
Lisinopril,DB00722,Angiotensin-converting enzyme,P12821
Lisinopril,DB00722,Renin,P00797
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit delta,O14764
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit pi,O00591
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Lorazepam,DB00186,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Losartan,DB00678,Type-1 angiotensin II receptor,P30556
Lovastatin,DB00227,3-hydroxy-3-methylglutaryl-coenzyme A reductase,P04035
Lovastatin,DB00227,Integrin alpha-L,P20701
Lovastatin,DB00227,Histone deacetylase 2,Q92769
Loxapine,DB00408,D(1A) dopamine receptor,P21728
Loxapine,DB00408,D(2) dopamine receptor,P14416
Loxapine,DB00408,5-hydroxytryptamine receptor 2A,P28223
Loxapine,DB00408,5-hydroxytryptamine receptor 2C,P28335
Loxapine,DB00408,5-hydroxytryptamine receptor 1A,P08908
Loxapine,DB00408,5-hydroxytryptamine receptor 1B,P28222
Loxapine,DB00408,5-hydroxytryptamine receptor 1D,P28221
Loxapine,DB00408,5-hydroxytryptamine receptor 1E,P28566
Loxapine,DB00408,5-hydroxytryptamine receptor 3A,P46098
Loxapine,DB00408,5-hydroxytryptamine receptor 5A,P47898
Loxapine,DB00408,5-hydroxytryptamine receptor 6,P50406
Loxapine,DB00408,5-hydroxytryptamine receptor 7,P34969
Loxapine,DB00408,Alpha-1A adrenergic receptor,P35348
Loxapine,DB00408,Alpha-1B adrenergic receptor,P35368
Loxapine,DB00408,Alpha-2A adrenergic receptor,P08913
Loxapine,DB00408,Alpha-2B adrenergic receptor,P18089
Loxapine,DB00408,Alpha-2C adrenergic receptor,P18825
Loxapine,DB00408,Beta-1 adrenergic receptor,P08588
Loxapine,DB00408,Muscarinic acetylcholine receptor M1,P11229
Loxapine,DB00408,Muscarinic acetylcholine receptor M2,P08172
Loxapine,DB00408,Muscarinic acetylcholine receptor M3,P20309
Loxapine,DB00408,Muscarinic acetylcholine receptor M4,P08173
Loxapine,DB00408,Muscarinic acetylcholine receptor M5,P08912
Loxapine,DB00408,D(1A) dopamine receptor,P21728
Loxapine,DB00408,D(1B) dopamine receptor,P21918
Loxapine,DB00408,D(3) dopamine receptor,P35462
Loxapine,DB00408,D(4) dopamine receptor,P21917
Loxapine,DB00408,D(1B) dopamine receptor,P21918
Loxapine,DB00408,Histamine H1 receptor,P35367
Loxapine,DB00408,Histamine H2 receptor,P25021
Loxapine,DB00408,Histamine H4 receptor,Q9H3N8
Loxapine,DB00408,Sodium-dependent serotonin transporter,P31645
Loxapine,DB00408,Sodium-dependent noradrenaline transporter,P23975
Loxapine,DB00408,Sodium-dependent dopamine transporter,Q01959
Masoprocol,DB00179,Arachidonate 5-lipoxygenase,P09917
Masoprocol,DB00179,Sex hormone-binding globulin,P04278
Mecamylamine,DB00657,Neuronal acetylcholine receptor subunit alpha-2,Q15822
Mecamylamine,DB00657,Neuronal acetylcholine receptor subunit alpha-7,P36544
Mecamylamine,DB00657,Neuronal acetylcholine receptor subunit alpha-4,P43681
Mecamylamine,DB00657,Neuronal acetylcholine receptor subunit beta-2,P17787
Meloxicam,DB00814,Prostaglandin G/H synthase 2,P35354
Meloxicam,DB00814,Prostaglandin G/H synthase 1,P23219
Memantine,DB01043,5-hydroxytryptamine receptor 3A,P46098
Memantine,DB01043,Alpha-7 nicotinic cholinergic receptor subunit,Q693P7
Memantine,DB01043,D(2) dopamine receptor,P14416
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 1",Q05586
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 1",Q05586
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 2D",O15399
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Memantine,DB01043,"Glutamate receptor ionotropic, NMDA 3B",O60391
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit delta,O14764
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit pi,O00591
Memantine,DB01043,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Memantine,DB01043,Glycine receptor subunit alpha-1,P23415
Memantine,DB01043,Glycine receptor subunit alpha-2,P23416
Memantine,DB01043,Glycine receptor subunit alpha-3,O75311
Memantine,DB01043,Glycine receptor subunit alpha-4,Q5JXX5
Memantine,DB01043,Glycine receptor subunit beta,P48167
Meperidine,DB00454,Kappa-type opioid receptor,P41145
Meperidine,DB00454,"Glutamate receptor ionotropic, NMDA 1",Q05586
Meperidine,DB00454,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Meperidine,DB00454,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Meperidine,DB00454,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Meperidine,DB00454,"Glutamate receptor ionotropic, NMDA 2D",O15399
Meperidine,DB00454,Muscarinic acetylcholine receptor M1,P11229
Meperidine,DB00454,Muscarinic acetylcholine receptor M2,P08172
Meperidine,DB00454,Muscarinic acetylcholine receptor M3,P20309
Meperidine,DB00454,Muscarinic acetylcholine receptor M4,P08173
Meperidine,DB00454,Muscarinic acetylcholine receptor M5,P08912
Meperidine,DB00454,Mu-type opioid receptor,P35372
Meperidine,DB00454,Sodium-dependent dopamine transporter,Q01959
Meperidine,DB00454,Sodium-dependent noradrenaline transporter,P23975
Meperidine,DB00454,Sodium-dependent serotonin transporter,P31645
Meperidine,DB00454,Liver carboxylesterase 1,P23141
Mephenytoin,DB00532,Sodium channel protein type 5 subunit alpha,Q14524
Mephenytoin,DB00532,Nuclear receptor subfamily 1 group I member 2,O75469
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-1,P14867
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-2,P47869
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-3,P34903
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-4,P48169
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-5,P31644
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit alpha-6,Q16445
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit beta-1,P18505
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit beta-2,P47870
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit beta-3,P28472
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit delta,O14764
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit epsilon,P78334
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit gamma-1,Q8N1C3
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit gamma-2,P18507
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit gamma-3,Q99928
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit pi,O00591
Meprobamate,DB00371,Gamma-aminobutyric acid receptor subunit theta,Q9UN88
Mercaptopurine,DB01033,Hypoxanthine-guanine phosphoribosyltransferase,P00492
Mercaptopurine,DB01033,Amidophosphoribosyltransferase,Q06203
Mercaptopurine,DB01033,Inosine-5'-monophosphate dehydrogenase 1,P20839
Mercaptopurine,DB01033,Inosine-5'-monophosphate dehydrogenase 2,P12268
Mesalazine,DB00244,Prostaglandin G/H synthase 2,P35354
Mesalazine,DB00244,Prostaglandin G/H synthase 1,P23219
Mesalazine,DB00244,Arachidonate 5-lipoxygenase,P09917
Mesalazine,DB00244,Peroxisome proliferator-activated receptor gamma,P37231
Mesalazine,DB00244,Inhibitor of nuclear factor kappa-B kinase subunit alpha,O15111
Mesalazine,DB00244,Inhibitor of nuclear factor kappa-B kinase subunit beta,O14920
Mesalazine,DB00244,Myeloperoxidase,P05164
Mesalazine,DB00244,Arylamine N-acetyltransferase,P9WJI5
Mesoridazine,DB00933,5-hydroxytryptamine receptor 2A,P28223
Mesoridazine,DB00933,D(2) dopamine receptor,P14416
Metformin,DB00331,5'-AMP-activated protein kinase subunit beta-1,Q9Y478
Metformin,DB00331,"Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial",Q16134
Metformin,DB00331,"Glycerol-3-phosphate dehydrogenase [NAD(+)], cytoplasmic",P21695
Methadone,DB00333,Mu-type opioid receptor,P35372
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 1",Q05586
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 2A",Q12879
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 2B",Q13224
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 2C",Q14957
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 2D",O15399
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 3A",Q8TCU5
Methadone,DB00333,"Glutamate receptor ionotropic, NMDA 3B",O60391
Methadone,DB00333,Delta-type opioid receptor,P41143
Methadone,DB00333,5-hydroxytryptamine receptor 3A,P46098
Methadone,DB00333,Neuronal acetylcholine receptor subunit alpha-7,P36544
Methadone,DB00333,Neuronal acetylcholine receptor subunit alpha-3,P32297
Methadone,DB00333,Neuronal acetylcholine receptor subunit alpha-4,P43681
Methadone,DB00333,Neuronal acetylcholine receptor subunit beta-2,P17787
Methimazole,DB00763,Thyroid peroxidase,P07202
Methotrexate,DB00563,Dihydrofolate reductase,P00374
Methotrexate,DB00563,Thymidylate synthase,P04818
Methotrexate,DB00563,Bifunctional purine biosynthesis protein PURH,P31939
Methotrimeprazine,DB01403,D(2) dopamine receptor,P14416
Methotrimeprazine,DB01403,D(1A) dopamine receptor,P21728
Methotrimeprazine,DB01403,D(1B) dopamine receptor,P21918
Methotrimeprazine,DB01403,D(3) dopamine receptor,P35462
Methotrimeprazine,DB01403,D(4) dopamine receptor,P21917
Methotrimeprazine,DB01403,5-hydroxytryptamine receptor 2A,P28223
Methotrimeprazine,DB01403,5-hydroxytryptamine receptor 2C,P28335
Methotrimeprazine,DB01403,Histamine H1 receptor,P35367
Methotrimeprazine,DB01403,Muscarinic acetylcholine receptor M1,P11229
Methotrimeprazine,DB01403,Muscarinic acetylcholine receptor M2,P08172
Methotrimeprazine,DB01403,Muscarinic acetylcholine receptor M3,P20309
Methotrimeprazine,DB01403,Muscarinic acetylcholine receptor M4,P08173
Methotrimeprazine,DB01403,Muscarinic acetylcholine receptor M5,P08912
Methotrimeprazine,DB01403,Alpha-1A adrenergic receptor,P35348
Methotrimeprazine,DB01403,Alpha-1B adrenergic receptor,P35368
Methotrimeprazine,DB01403,Alpha-1D adrenergic receptor,P25100
Methotrimeprazine,DB01403,Alpha-2A adrenergic receptor,P08913
Methotrimeprazine,DB01403,Alpha-2B adrenergic receptor,P18089
Methotrimeprazine,DB01403,Alpha-2C adrenergic receptor,P18825
Methyclothiazide,DB00232,Solute carrier family 12 member 1,Q13621
Methyclothiazide,DB00232,Carbonic anhydrase 1,P00915
Methyclothiazide,DB00232,Carbonic anhydrase 2,P00918
Methyclothiazide,DB00232,Carbonic anhydrase 4,P22748
Methyldopa,DB00968,Alpha-2A adrenergic receptor,P08913
Methyldopa,DB00968,Aromatic-L-amino-acid decarboxylase,P20711
Methylphenidate,DB00422,Sodium-dependent noradrenaline transporter,P23975
Methylphenidate,DB00422,Sodium-dependent dopamine transporter,Q01959
Methylphenidate,DB00422,5-hydroxytryptamine receptor 1A,P08908
Methylprednisolone,DB00959,Glucocorticoid receptor,P04150
Methylprednisolone,DB00959,Annexin A1,P04083
Metipranolol,DB01214,Beta-1 adrenergic receptor,P08588
Metipranolol,DB01214,Beta-2 adrenergic receptor,P07550
Metoclopramide,DB01233,Muscarinic acetylcholine receptor M1,P11229
Metoclopramide,DB01233,D(2) dopamine receptor,P14416
Metoclopramide,DB01233,5-hydroxytryptamine receptor 4,Q13639
Metoclopramide,DB01233,5-hydroxytryptamine receptor 3A,P46098
Metolazone,DB00524,Solute carrier family 12 member 3,P55017
Metoprolol,DB00264,Beta-1 adrenergic receptor,P08588
Metoprolol,DB00264,Beta-2 adrenergic receptor,P07550
Metyrosine,DB00765,Tyrosine 3-monooxygenase,P07101
Mexiletine,DB00379,Sodium channel protein type 5 subunit alpha,Q14524
Mexiletine,DB00379,Aryl hydrocarbon receptor,P35869
Miconazole,DB01110,Lanosterol 14-alpha demethylase,P10613
Miconazole,DB01110,"Nitric oxide synthase, endothelial",P29474
Miconazole,DB01110,"Nitric oxide synthase, inducible",P35228
Miconazole,DB01110,Nuclear receptor subfamily 1 group I member 2,O75469
Miconazole,DB01110,Calcium-activated potassium channel subunit alpha-1,Q12791
Miconazole,DB01110,Calcium-activated potassium channel subunit beta-1,Q16558
Miconazole,DB01110,Calcium-activated potassium channel subunit beta-2,Q9Y691
Miconazole,DB01110,Calcium-activated potassium channel subunit beta-3,Q9NPA1
Miconazole,DB01110,Calcium-activated potassium channel subunit beta-4,Q86W47
Miconazole,DB01110,Intermediate conductance calcium-activated potassium channel protein 4,O15554
Miconazole,DB01110,Small conductance calcium-activated potassium channel protein 1,Q92952
Miconazole,DB01110,Small conductance calcium-activated potassium channel protein 2,Q9H2S1
Miconazole,DB01110,Small conductance calcium-activated potassium channel protein 3,Q9UGI6
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 1,Q09470
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 10,Q16322
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 2,P16389
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 3,P22001
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 4,P22459
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 5,P22460
Miconazole,DB01110,Potassium voltage-gated channel subfamily A member 6,P17658
Miconazole,DB01110,Potassium voltage-gated channel subfamily B member 1,Q14721
Miconazole,DB01110,Potassium voltage-gated channel subfamily B member 2,Q92953
Miconazole,DB01110,Potassium voltage-gated channel subfamily C member 1,P48547
Miconazole,DB01110,Potassium voltage-gated channel subfamily C member 2,Q96PR1
Miconazole,DB01110,Potassium voltage-gated channel subfamily C member 3,Q14003
Miconazole,DB01110,Potassium voltage-gated channel subfamily C member 4,Q03721
Miconazole,DB01110,Potassium voltage-gated channel subfamily D member 1,Q9NSA2
Miconazole,DB01110,Potassium voltage-gated channel subfamily D member 2,Q9NZV8
Miconazole,DB01110,Potassium voltage-gated channel subfamily D member 3,Q9UK17
Miconazole,DB01110,Potassium voltage-gated channel subfamily E member 1,P15382
Miconazole,DB01110,Potassium voltage-gated channel subfamily E member 2,Q9Y6J6
Miconazole,DB01110,Potassium voltage-gated channel subfamily E member 3,Q9Y6H6
Miconazole,DB01110,Potassium voltage-gated channel subfamily E member 4,Q8WWG9
Miconazole,DB01110,Potassium voltage-gated channel subfamily E regulatory beta subunit 5,Q9UJ90
Miconazole,DB01110,Potassium voltage-gated channel subfamily F member 1,Q9H3M0
Miconazole,DB01110,Potassium voltage-gated channel subfamily G member 1,Q9UIX4
Miconazole,DB01110,Potassium voltage-gated channel subfamily G member 2,Q9UJ96
Miconazole,DB01110,Potassium voltage-gated channel subfamily G member 3,Q8TAE7
Miconazole,DB01110,Potassium voltage-gated channel subfamily G member 4,Q8TDN1
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 1,O95259
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 2,Q12809
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 3,Q9ULD8
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 4,Q9UQ05
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 5,Q8NCM2
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 6,Q9H252
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 7,Q9NS40
Miconazole,DB01110,Potassium voltage-gated channel subfamily H member 8,Q96L42
Miconazole,DB01110,Potassium voltage-gated channel subfamily KQT member 1,P51787
Miconazole,DB01110,Potassium voltage-gated channel subfamily KQT member 2,O43526
Miconazole,DB01110,Potassium voltage-gated channel subfamily KQT member 3,O43525
Miconazole,DB01110,Potassium voltage-gated channel subfamily KQT member 4,P56696
Miconazole,DB01110,Potassium voltage-gated channel subfamily KQT member 5,Q9NR82
Miconazole,DB01110,Potassium voltage-gated channel subfamily S member 1,Q96KK3
Miconazole,DB01110,Potassium voltage-gated channel subfamily S member 3,Q9BQ31
Miconazole,DB01110,Potassium voltage-gated channel subfamily V member 1,Q6PIU1
Miconazole,DB01110,Potassium voltage-gated channel subfamily V member 2,Q8TDN2
Miconazole,DB01110,Voltage-gated potassium channel subunit beta-1,Q14722
Miconazole,DB01110,Voltage-gated potassium channel subunit beta-2,Q13303
Miconazole,DB01110,ATP-sensitive inward rectifier potassium channel 12,Q14500
Miconazole,DB01110,ATP-sensitive inward rectifier potassium channel 14,Q9UNX9
Miconazole,DB01110,Inward rectifier potassium channel 2,P63252
Miconazole,DB01110,Inward rectifier potassium channel 4,P48050
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit alpha-1C,Q13936
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit alpha-1D,Q01668
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit alpha-1F,O60840
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit alpha-1S,Q13698
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit beta-1,Q02641
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit beta-2,Q08289
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit beta-3,P54284
Miconazole,DB01110,Voltage-dependent L-type calcium channel subunit beta-4,O00305
Midodrine,DB00211,Alpha-1A adrenergic receptor,P35348
Midodrine,DB00211,Alpha-1B adrenergic receptor,P35368
Midodrine,DB00211,Alpha-1D adrenergic receptor,P25100
Miglitol,DB00491,"Maltase-glucoamylase, intestinal",O43451
Miglitol,DB00491,Lysosomal alpha-glucosidase,P10253
Miglitol,DB00491,Neutral alpha-glucosidase AB,Q14697
Miglitol,DB00491,Neutral alpha-glucosidase C,Q8TET4
Miglustat,DB00419,Ceramide glucosyltransferase,Q16739
Minocycline,DB01017,30S ribosomal protein S9,P0A7X3
Minocycline,DB01017,30S ribosomal protein S4,P0A7V8
Minocycline,DB01017,Interleukin-1 beta,P01584
Minocycline,DB01017,Arachidonate 5-lipoxygenase,P09917
Minocycline,DB01017,Matrix metalloproteinase-9,P14780
Minocycline,DB01017,Vascular endothelial growth factor A,P15692
Minocycline,DB01017,Caspase-1,P29466
Minocycline,DB01017,Caspase-3,P42574
Minocycline,DB01017,Cytochrome c,P99999
Minocycline,DB01017,Mitogen-activated protein kinase 1,P28482
Minocycline,DB01017,Mitogen-activated protein kinase 10,P53779
Minocycline,DB01017,Mitogen-activated protein kinase 11,Q15759
Minocycline,DB01017,Mitogen-activated protein kinase 12,P53778
Minocycline,DB01017,Mitogen-activated protein kinase 13,O15264
Minocycline,DB01017,Mitogen-activated protein kinase 14,Q16539
Minocycline,DB01017,Mitogen-activated protein kinase 15,Q8TD08
Minocycline,DB01017,Mitogen-activated protein kinase 3,P27361
Minocycline,DB01017,Mitogen-activated protein kinase 4,P31152
Minocycline,DB01017,Mitogen-activated protein kinase 6,Q16659
Minocycline,DB01017,Mitogen-activated protein kinase 7,Q13164
Minocycline,DB01017,Mitogen-activated protein kinase 8,P45983
Minocycline,DB01017,Mitogen-activated protein kinase 9,P45984
Minocycline,DB01017,"Nitric oxide synthase, inducible",P35228
Minoxidil,DB00350,Prostaglandin G/H synthase 1,P23219
Minoxidil,DB00350,ATP-sensitive inward rectifier potassium channel 1,P48048
Minoxidil,DB00350,Renin,P00797
Misoprostol,DB00929,Prostaglandin E2 receptor EP3 subtype,P43115
Misoprostol,DB00929,Prostaglandin E2 receptor EP2 subtype,P43116
Misoprostol,DB00929,Prostaglandin E2 receptor EP4 subtype,P35408
Misoprostol,DB00929,Prostaglandin E2 receptor EP1 subtype,P34995
Mitoxantrone,DB01204,DNA topoisomerase 2-alpha,P11388
Modafinil,DB00745,Alpha-1B adrenergic receptor,P35368
Modafinil,DB00745,Sodium-dependent dopamine transporter,Q01959
Moexipril,DB00691,Angiotensin-converting enzyme,P12821
Mometasone,DB00764,Glucocorticoid receptor,P04150
Mometasone,DB00764,Progesterone receptor,P06401
Montelukast,DB00471,Arachidonate 5-lipoxygenase,P09917
Montelukast,DB00471,Cysteinyl leukotriene receptor 1,Q9Y271
Morphine,DB00295,Mu-type opioid receptor,P35372
Morphine,DB00295,Kappa-type opioid receptor,P41145
Morphine,DB00295,Delta-type opioid receptor,P41143
Morphine,DB00295,Lymphocyte antigen 96,Q9Y6Y9
Moxifloxacin,DB00218,DNA gyrase subunit A,P43700
Moxifloxacin,DB00218,DNA topoisomerase 4 subunit A,P43702
Moxifloxacin,DB00218,DNA topoisomerase 2-alpha,P11388
Nabumetone,DB00461,Prostaglandin G/H synthase 2,P35354
Nabumetone,DB00461,Prostaglandin G/H synthase 1,P23219
Nadolol,DB01203,Beta-1 adrenergic receptor,P08588
Nadolol,DB01203,Beta-2 adrenergic receptor,P07550
Nalbuphine,DB00844,Delta-type opioid receptor,P41143
Nalbuphine,DB00844,Kappa-type opioid receptor,P41145
Nalbuphine,DB00844,Mu-type opioid receptor,P35372
Naltrexone,DB00704,Delta-type opioid receptor,P41143
Naltrexone,DB00704,Kappa-type opioid receptor,P41145
Naltrexone,DB00704,Mu-type opioid receptor,P35372
Naltrexone,DB00704,"HCG20471, isoform CRA_c",Q5T1J1
Naproxen,DB00788,Prostaglandin G/H synthase 1,P23219
